point_index,x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg,requested_velocity_percent,requested_acceleration_percent
0,-124.605376658,81.0951088913,200.061,-179.945,-0.097,-0.268488819057,100,80
1,-125.605373923,81.0944282147,200.061,-179.945,-0.097,-0.268488819057,100,80
2,-126.586007031,81.1046011505,200.061,-179.945,-0.097,-0.229163324209,100,80
3,-127.567462778,81.1136716848,200.061,-179.945,-0.097,-0.191495222607,100,80
4,-128.549741898,81.1216950877,200.061,-179.945,-0.097,-0.155488525854,100,80
5,-129.532845398,81.1287268392,200.061,-179.945,-0.097,-0.121147546885,100,80
6,-130.516774423,81.1348227044,200.061,-179.945,-0.097,-0.0884766372343,100,80
7,-131.501530062,81.1400388088,200.061,-179.945,-0.097,-0.0574798071777,100,80
8,-132.487113216,81.1444316611,200.061,-179.945,-0.097,-0.0281604635652,100,80
9,-133.473524584,81.1480581136,200.061,-179.945,-0.097,-0.000521399774882,100,80
10,-134.460764744,81.1509752969,200.061,-179.945,-0.097,0.0254350369652,100,80
11,-135.448834229,81.1532405681,200.061,-179.945,-0.097,0.049706763639,100,80
12,-136.437733583,81.1549114803,200.061,-179.945,-0.097,0.0722918468144,100,80
13,-137.427463381,81.1560457674,200.061,-179.945,-0.097,0.0931884411574,100,80
14,-138.418024241,81.1567013363,200.061,-179.945,-0.097,0.112394761035,100,80
15,-139.409416806,81.1569362633,200.061,-179.945,-0.097,0.129909089454,100,80
16,-140.401641728,81.1568087908,200.061,-179.945,-0.097,0.145729810912,100,80
17,-141.394699645,81.1563773211,200.061,-179.945,-0.097,0.159855434413,100,80
18,-142.38859117,81.1557004075,200.061,-179.945,-0.097,0.17228460583,100,80
19,-143.383316865,81.154836745,200.061,-179.945,-0.097,0.183016149547,100,80
20,-144.378877191,81.1538451545,200.061,-179.945,-0.097,0.192049151324,100,80
21,-145.375272469,81.1527845619,200.061,-179.945,-0.097,0.199383025402,100,80
22,-146.372502881,81.1517139759,200.061,-179.945,-0.097,0.20501750159,100,80
23,-147.3705685,81.1506924734,200.061,-179.945,-0.097,0.208952543096,100,80
24,-148.369469323,81.1497791913,200.061,-179.945,-0.097,0.211188270245,100,80
25,-149.369205274,81.1490333179,200.061,-179.945,-0.097,0.211724940621,100,80
26,-150.369776185,81.1485140803,200.061,-179.945,-0.097,0.210562967702,100,80
27,-151.371181783,81.1482807314,200.061,-179.945,-0.097,0.207702938604,100,80
28,-152.373421677,81.1483925349,200.061,-179.945,-0.097,0.20314562793,100,80
29,-153.376495333,81.1489087463,200.061,-179.945,-0.097,0.196892027209,100,80
30,-154.380402052,81.1498885908,200.061,-179.945,-0.097,0.188943378516,100,80
31,-155.385140968,81.1513912467,200.061,-179.945,-0.097,0.17930116866,100,80
32,-156.39071107,81.1534758438,200.061,-179.945,-0.097,0.167967064757,100,80
33,-157.397111239,81.1562014735,200.061,-179.945,-0.097,0.154942825869,100,80
34,-158.404340275,81.1596271996,200.061,-179.945,-0.097,0.140230241157,100,80
35,-159.412396888,81.1638120582,200.061,-179.945,-0.097,0.123831119955,100,80
36,-160.421279666,81.1688150352,200.061,-179.945,-0.097,0.105747359437,100,80
37,-161.430986946,81.1746949813,200.061,-179.945,-0.097,0.0859811809905,100,80
38,-162.441516492,81.1815103606,200.061,-179.945,-0.097,0.064535781257,100,80
39,-163.452864615,81.1893185301,200.061,-179.945,-0.097,0.0414171056305,100,80
40,-164.465023766,81.1981736554,200.061,-179.945,-0.097,0.0166387555673,100,80
41,-165.477976295,81.2081210459,200.061,-179.945,-0.097,-0.00976529505713,100,80
42,-166.491680334,81.2191835835,200.061,-179.945,-0.097,-0.0377118568817,100,80
43,-167.506042628,81.2313338892,200.061,-179.945,-0.097,-0.0670129808563,100,80
44,-168.52087507,81.2444462946,200.061,-179.945,-0.097,-0.0972869424073,100,80
45,-169.535838967,81.2582288839,200.061,-179.945,-0.097,-0.127843864938,100,80
46,-170.550393836,81.2721497245,200.061,-179.945,-0.097,-0.157580192798,100,80
47,-171.563780381,81.2853892381,200.061,-179.945,-0.097,-0.184942817137,100,80
48,-172.575069907,81.2968612675,200.061,-179.945,-0.097,-0.208029321867,100,80
49,-173.583295121,81.3053345724,200.061,-179.945,-0.097,-0.224855805319,100,80
50,-174.587641456,81.3096487912,200.061,-179.945,-0.097,-0.2337500844,100,80
51,-174.186265137,80.7558571693,200.061,-179.945,-0.097,0.752821778101,100,80
52,-173.775629895,80.2075809023,200.061,-179.945,-0.097,1.7393936406,100,80
53,-173.355806593,79.6649750797,200.061,-179.945,-0.097,2.7259655031,100,80
54,-172.926868693,79.1281939869,200.061,-179.945,-0.097,3.71253736561,100,80
55,-172.488892259,78.5973910616,200.061,-179.945,-0.097,4.69910922811,100,80
56,-172.04195594,78.0727188499,200.061,-179.945,-0.097,5.68568109061,100,80
57,-171.586140967,77.5543289626,200.061,-179.945,-0.097,6.67225295311,100,80
58,-171.121531144,77.0423720314,200.061,-179.945,-0.097,7.65882481561,100,80
59,-170.648212835,76.5369976652,200.061,-179.945,-0.097,8.64539667811,100,80
60,-170.166274959,76.0383544062,200.061,-179.945,-0.097,9.63196854061,100,80
61,-169.589060708,75.5581434852,200.061,-179.945,-0.097,10.6233115113,100,80
62,-169.00383778,75.0879409707,200.061,-179.945,-0.097,11.614654482,100,80
63,-168.410779635,74.6278802442,200.061,-179.945,-0.097,12.6059974527,100,80
64,-167.810061952,74.178091682,200.061,-179.945,-0.097,13.5973404234,100,80
65,-167.201862573,73.7387026186,200.061,-179.945,-0.097,14.5886833941,100,80
66,-166.586361457,73.3098373108,200.061,-179.945,-0.097,15.5800263648,100,80
67,-165.963740621,72.8916169028,200.061,-179.945,-0.097,16.5713693355,100,80
68,-165.33418409,72.4841593917,200.061,-179.945,-0.097,17.5627123062,100,80
69,-164.697877839,72.0875795948,200.061,-179.945,-0.097,18.5540552769,100,80
70,-164.055009741,71.701989117,200.061,-179.945,-0.097,19.5453982476,100,80
71,-163.405769512,71.32749632,200.061,-179.945,-0.097,20.5367412183,100,80
72,-162.750348653,70.9642062912,200.061,-179.945,-0.097,21.528084189,100,80
73,-162.088940392,70.6122208152,200.061,-179.945,-0.097,22.5194271597,100,80
74,-161.421739632,70.2716383447,200.061,-179.945,-0.097,23.5107701304,100,80
75,-160.748942889,69.9425539737,200.061,-179.945,-0.097,24.5021131011,100,80
76,-160.070748239,69.6250594107,200.061,-179.945,-0.097,25.4934560718,100,80
77,-159.387355252,69.3192429533,200.061,-179.945,-0.097,26.4847990424,100,80
78,-158.698964941,69.025189464,200.061,-179.945,-0.097,27.4761420131,100,80
79,-158.0057797,68.7429803465,200.061,-179.945,-0.097,28.4674849838,100,80
80,-157.308003243,68.4726935237,200.061,-179.945,-0.097,29.4588279545,100,80
81,-156.605840547,68.214403416,200.061,-179.945,-0.097,30.4501709252,100,80
82,-155.899497788,67.9681809211,200.061,-179.945,-0.097,31.4415138959,100,80
83,-155.189182284,67.7340933946,200.061,-179.945,-0.097,32.4328568666,100,80
84,-154.475102435,67.5122046322,200.061,-179.945,-0.097,33.4241998373,100,80
85,-153.757467657,67.3025748515,200.061,-179.945,-0.097,34.415542808,100,80
86,-153.036488325,67.105260677,200.061,-179.945,-0.097,35.4068857787,100,80
87,-152.312375709,66.9203151241,200.061,-179.945,-0.097,36.3982287494,100,80
88,-151.585341913,66.7477875855,200.061,-179.945,-0.097,37.3895717201,100,80
89,-150.855599813,66.5877238179,200.061,-179.945,-0.097,38.3809146908,100,80
90,-150.123362996,66.4401659305,200.061,-179.945,-0.097,39.3722576615,100,80
91,-149.388845694,66.3051523737,200.061,-179.945,-0.097,40.3636006322,100,80
92,-148.652262723,66.1827179294,200.061,-179.945,-0.097,41.3549436029,100,80
93,-147.913829424,66.0728937025,200.061,-179.945,-0.097,42.3462865736,100,80
94,-147.173761593,65.9757071129,200.061,-179.945,-0.097,43.3376295443,100,80
95,-146.432275424,65.8911818894,200.061,-179.945,-0.097,44.328972515,100,80
96,-145.689587442,65.8193380637,200.061,-179.945,-0.097,45.3203154857,100,80
97,-144.945914443,65.7601919662,200.061,-179.945,-0.097,46.3116584564,100,80
98,-144.201473429,65.7137562228,200.061,-179.945,-0.097,47.3030014271,100,80
99,-143.456481542,65.6800397523,200.061,-179.945,-0.097,48.2943443978,100,80
100,-142.711156007,65.6590477656,200.061,-179.945,-0.097,49.2856873685,100,80
101,-141.965714064,65.6507817654,200.061,-179.945,-0.097,50.2770303392,100,80
102,-141.220372906,65.6552395471,200.061,-179.945,-0.097,51.2683733098,100,80
103,-140.475349616,65.6724152011,200.061,-179.945,-0.097,52.2597162805,100,80
104,-139.730861103,65.7022991157,200.061,-179.945,-0.097,53.2510592512,100,80
105,-138.98712404,65.7448779815,200.061,-179.945,-0.097,54.2424022219,100,80
106,-138.2443548,65.8001347966,200.061,-179.945,-0.097,55.2337451926,100,80
107,-137.502769395,65.8680488729,200.061,-179.945,-0.097,56.2250881633,100,80
108,-136.762583409,65.9485958437,200.061,-179.945,-0.097,57.216431134,100,80
109,-136.024011942,66.0417476721,200.061,-179.945,-0.097,58.2077741047,100,80
110,-135.287269541,66.1474726604,200.061,-179.945,-0.097,59.1991170754,100,80
111,-134.55257014,66.2657354613,200.061,-179.945,-0.097,60.1904600461,100,80
112,-133.820127001,66.3964970889,200.061,-179.945,-0.097,61.1818030168,100,80
113,-133.090152648,66.5397149317,200.061,-179.945,-0.097,62.1731459875,100,80
114,-132.362858807,66.6953427667,200.061,-179.945,-0.097,63.1644889582,100,80
115,-131.638456344,66.8633307737,200.061,-179.945,-0.097,64.1558319289,100,80
116,-130.917155207,67.0436255517,200.061,-179.945,-0.097,65.1471748996,100,80
117,-130.19916436,67.2361701354,200.061,-179.945,-0.097,66.1385178703,100,80
118,-129.484691726,67.4409040133,200.061,-179.945,-0.097,67.129860841,100,80
119,-128.773944128,67.6577631469,200.061,-179.945,-0.097,68.1212038117,100,80
120,-128.067127225,67.8866799904,200.061,-179.945,-0.097,69.1125467824,100,80
121,-127.364445456,68.1275835117,200.061,-179.945,-0.097,70.1038897531,100,80
122,-126.66610198,68.3803992146,200.061,-179.945,-0.097,71.0952327238,100,80
123,-125.972298617,68.6450491617,200.061,-179.945,-0.097,72.0865756945,100,80
124,-125.28323579,68.9214519985,200.061,-179.945,-0.097,73.0779186652,100,80
125,-124.599112467,69.2095229782,200.061,-179.945,-0.097,74.0692616359,100,80
126,-123.920126103,69.509173988,200.061,-179.945,-0.097,75.0606046066,100,80
127,-123.246472585,69.8203135756,200.061,-179.945,-0.097,76.0519475772,100,80
128,-122.578346175,70.1428469774,200.061,-179.945,-0.097,77.0432905479,100,80
129,-121.915939451,70.4766761474,200.061,-179.945,-0.097,78.0346335186,100,80
130,-121.259443257,70.8216997867,200.061,-179.945,-0.097,79.0259764893,100,80
131,-120.609046643,71.1778133747,200.061,-179.945,-0.097,80.01731946,100,80
132,-119.964936813,71.5449092001,200.061,-179.945,-0.097,81.0086624307,100,80
133,-119.327299072,71.9228763942,200.061,-179.945,-0.097,82.0000054014,100,80
134,-118.696316771,72.3116009638,200.061,-179.945,-0.097,82.9913483721,100,80
135,-118.072171256,72.710965826,200.061,-179.945,-0.097,83.9826913428,100,80
136,-117.455041815,73.1208508431,200.061,-179.945,-0.097,84.9740343135,100,80
137,-116.845105624,73.5411328589,200.061,-179.945,-0.097,85.9653772842,100,80
138,-116.242537703,73.971685736,200.061,-179.945,-0.097,86.9567202549,100,80
139,-115.647510859,74.412380393,200.061,-179.945,-0.097,87.9480632256,100,80
140,-116.353483857,74.630652529,200.061,-179.945,-0.097,88.4322671606,100,80
141,-117.337909821,74.6412225626,200.061,-179.945,-0.097,88.4579867593,100,80
142,-118.30846608,74.6609952798,200.061,-179.945,-0.097,88.5066416704,100,80
143,-119.268097451,74.6872526101,200.061,-179.945,-0.097,88.5733971214,100,80
144,-120.220284965,74.7171835271,200.061,-179.945,-0.097,88.6525277367,100,80
145,-121.168347953,74.7483582132,200.061,-179.945,-0.097,88.7385614337,100,80
146,-122.114973062,74.778981205,200.061,-179.945,-0.097,88.827056912,100,80
147,-123.062042659,74.807919071,200.061,-179.945,-0.097,88.9148920102,100,80
148,-124.010704029,74.8345791288,200.061,-179.945,-0.097,89.0001551888,100,80
149,-124.961560094,74.8587360064,200.061,-179.945,-0.097,89.0818344463,100,80
150,-125.914873963,74.8803763771,200.061,-179.945,-0.097,89.1594811326,100,80
151,-126.870727478,74.8995912555,200.061,-179.945,-0.097,89.2329483038,100,80
152,-127.829120037,74.9165145986,200.061,-179.945,-0.097,89.3022271486,100,80
153,-128.79001993,74.9312939447,200.061,-179.945,-0.097,89.367361792,100,80
154,-129.753386897,74.9440785929,200.061,-179.945,-0.097,89.4284117378,100,80
155,-130.719180628,74.9550156505,200.061,-179.945,-0.097,89.4854376368,100,80
156,-131.687363588,74.9642490287,200.061,-179.945,-0.097,89.5384964774,100,80
157,-132.657901901,74.9719193946,200.061,-179.945,-0.097,89.5876400138,100,80
158,-133.630765643,74.978164412,200.061,-179.945,-0.097,89.6329141935,100,80
159,-134.605928941,74.9831190779,200.061,-179.945,-0.097,89.6743589086,100,80
160,-135.583369932,74.9869161112,200.061,-179.945,-0.097,89.7120079749,100,80
161,-136.563070557,74.9896863794,200.061,-179.945,-0.097,89.745889417,100,80
162,-137.545016181,74.9915593264,200.061,-179.945,-0.097,89.7760260242,100,80
